id,person_id,purchase_date,retailer,item_description,product_code,master_category_full_name,price,sales_unit,age_group,person_gender,location_id
0acd22d702f3fcf76c554fcf5eaa85a9,8467422cbbfac129bc186bead1eb6d69,2023-11-10,A,대림 실속종합어묵1kg,8801066200050.0,가공식품>어육/연식품류>어육제품류>어묵,8780,1,5559,1,6
e2b822e3b05056ab1c715c05ec692924,a0687b1a9daffd607e756cf7e3a37314,2023-11-12,A,농심 멸치칼국수 98g*,8801043004282.0,가공식품>즉석/편의식품>라면류>봉지라면,4500,1,4549,1,7
c74c0b591998551d076902e6c9a7c067,a0687b1a9daffd607e756cf7e3a37314,2023-11-12,A,농심 안성탕면 125g*5,8801043014786.0,가공식품>즉석/편의식품>라면류>봉지라면,3700,1,4549,1,5
d59210780d858bea5a836ed4c5f166e1,839a5092c95c4c443139af07985b85fe,2023-11-17,A,농심 안성탕면 125g*5,8801043014786.0,가공식품>즉석/편의식품>라면류>봉지라면,3700,1,3034,1,5
8689d4bacc5a397f99709a1512dceee6,839a5092c95c4c443139af07985b85fe,2023-11-17,A,오뚜기빵가루500g,8801045426402.0,가공식품>분말류>밀가루분말류>밀가루,3680,1,3034,1,9
82fa9499901ccc28ddb0f5260b0ad036,253e60acaad785227c7281227ee12fa9,2023-11-17,A,농심 멸치칼국수 98g*,8801043004282.0,가공식품>즉석/편의식품>라면류>봉지라면,4500,1,3539,0,7
1a39bd54836bbff85cda7c2d123be383,253e60acaad785227c7281227ee12fa9,2023-11-19,A,농심 올리브짜파게티1,8801043015264.0,가공식품>즉석/편의식품>라면류>봉지라면,4880,1,3539,0,2
2cfa3eb2635a71c1e50851d81a330be0,634c4da98da8c63767837c105c624072,2023-11-19,A,농심 멸치칼국수 98g*,8801043004282.0,가공식품>즉석/편의식품>라면류>봉지라면,4500,1,4549,1,7
c36fa87543c899f994016c10da75413c,27692223eade8407bbe12f0114636310,2023-11-19,A,농심 멸치칼국수 98g*,8801043004282.0,가공식품>즉석/편의식품>라면류>봉지라면,4500,1,5054,1,7
cf870870ed0e3d30c921d359f87f133e,d5a56401bf5ab3463d28f41554753aa5,2023-11-18,A,농심 올리브짜파게티1,8801043015264.0,가공식품>즉석/편의식품>라면류>봉지라면,4880,1,4549,0,2
d6e5f21b4c8ee648cf6281e668e8c058,70c995a02f223d495f06a90649ea59db,2023-11-24,A,농심 멸치칼국수 98g*,8801043004282.0,가공식품>즉석/편의식품>라면류>봉지라면,4500,1,4549,1,7
